References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
R9, R13, R31, R32, R33, R34, R55, R63, R64, RA1, RA2, RA3	12			RC0603FR-0715KL									YAG3569CT-ND	603RC0603FR1315KL			
R11, R12, R27, R28	4			RC0603FR-0710KL									311-10KLMCT-ND	603RC0603FR0710KL			
R15, R19, R35, R36, R37, R41, R42, R43, R44, R45, R46, R47, R48, R58, R61, R62, R65	17			RC0603FR-07549RL									311-549HRCT-ND	603RC0603FR07549RL			
R16, R20, R59	3			RC0603FR-07270RL									311-270HRCT-ND	603RC0603FR07270RL			
R22, R23, RB3	3			RT0603FRE073K3L									YAG3605CT-ND	603RC0603FR103K3L			
R24	1			AC0603FR-10100KL									P100KHCT-ND	71CRCW0603100KFKEAC			
R38	1		CTS	73L2R47J									73L2R47JCT-ND	77473L2R47J			
R49, R50, R52, R53	4			AC0603JR-0727RL									311-27.0HRCT-ND	603AC0603JR0727RL			
R56	1			RC0603JR-070RL													
RP1, RP2, RP3	3			RC0805JR-070RL									YAG1327CT-ND	652CR0805J/000ELF			
RV2	1			RC0805JR-070RL													
RV3	1			RC0805JR-070RL									YAG1327CT-ND	71RCG08050000Z0EA			
SD1	1			SCHD3A0100		47219-2001							WM6698DKR-ND	538472192001			
SW1	1			219-4MST									CT2194MST-ND	7742194MST			
U1	1		Lattice	LFE5U-85F-6BG381C	Lattice	LFE5U-12F-6BG381C							220-2071-ND	842LFE5U85F6BG381C			
U2	1		Micron	MT48LC16M16A2TG-6A	ISSI	IS42S16160G-7TL-TR	Winbond	W9812G6KH-6	Alliance	AS4C32M16SB-7TCN			1450-1352-1-ND	913AS4C32M16SB7TCN			
U3, U4, U5	3		TI	TLV62569DBVR	DIOO	DIO6015BCST5							296-47360-1-ND	595TLV62569DBVR			
U6	1			FT231XS									768-1129-1-ND	895FT231XSR	7570032		
U7	1		https://www.nxp.com/docs/en/packing/SOT96-1_118.pdf	MCP7940NT-I/SN		PCF8523T/1,118							568-5306-1-ND	579MCP7940NTI/SN			
U8	1			MAX11125ATI+		MAX11123ATI+							MAX11125ATI+-ND	700MAX11125ATI+			
U9	1			ESP-WROOM-32									1904-1010-1-ND	356ESPWROOM32			
U10	1			IS25LP128F-JBLE		IS25LP032D-JNLE-TR		IS25LP032D-JNLA3		W25Q128JVSIM			706-1607-1-ND	454W25Q128JVSIMTR			
U11	1			PCA9306D									568-4215-1-ND	771PCA9306DT		70R6428	
US1, US2	2		FCI	10118192-0001LF	Molex	47346-0001							WM17141CT-ND	649101181920001LF			
Y1	1			FNETHE025									FNETHE025CT-ND	729FNETHE025			
Y2	1			LFXTAL016178REEL		CM7V-T1A-32.768k-9pF-20PPM-TA-QA T3		LFXTAL003000Reel					1923-1019-1-ND	449LFXTAL016178REEL			
